[Measurement for 100kb at 18:05:22 16.05.2014] 
Tshark:

  1   0.000000 fe80::5ef9:6aff:fe25:83d4 -> fe80::446a:b521:8794:ef65 ICMPv6 86 Neighbor Solicitation for fe80::446a:b521:8794:ef65 from 5c:f9:6a:25:83:d4
  2   0.000286 fe80::446a:b521:8794:ef65 -> fe80::5ef9:6aff:fe25:83d4 ICMPv6 86 Neighbor Advertisement fe80::446a:b521:8794:ef65 (sol, ovr) is at 00:24:d7:3f:fc:98
  3   0.458497 54.243.222.44 -> 192.168.1.2  TLSv1.2 85 Encrypted Alert
  4   0.459854 54.243.222.44 -> 192.168.1.2  TCP 54 443→63775 [FIN, ACK] Seq=32 Ack=1 Win=78 Len=0
  5   0.459914  192.168.1.2 -> 54.243.222.44 TCP 54 63775→443 [ACK] Seq=1 Ack=33 Win=256 Len=0
  6   0.460833 54.243.222.44 -> 192.168.1.2  TLSv1.2 85 Encrypted Alert
  7   0.460873 54.243.222.44 -> 192.168.1.2  TCP 54 443→63774 [FIN, ACK] Seq=32 Ack=1 Win=82 Len=0
  8   0.460911  192.168.1.2 -> 54.243.222.44 TCP 54 63774→443 [ACK] Seq=1 Ack=33 Win=256 Len=0
  9   0.525599 54.243.222.44 -> 192.168.1.2  TLSv1.2 85 Encrypted Alert
 10   0.529073 54.243.222.44 -> 192.168.1.2  TCP 54 443→63773 [FIN, ACK] Seq=32 Ack=1 Win=82 Len=0
 11   0.529125  192.168.1.2 -> 54.243.222.44 TCP 54 63773→443 [ACK] Seq=1 Ack=33 Win=256 Len=0
 12   0.531483  192.168.1.2 -> 54.221.227.112 TLSv1.2 90 Application Data
 13   0.673000 54.221.227.112 -> 192.168.1.2  TLSv1.2 86 Application Data
 14   0.723339  192.168.1.2 -> 54.221.227.112 TCP 54 63063→443 [ACK] Seq=37 Ack=33 Win=256 Len=0
 15   1.147543  192.168.1.2 -> 54.230.98.130 TCP 66 63786→80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1
 16   1.191731 54.230.98.130 -> 192.168.1.2  TCP 66 80→63786 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1400 SACK_PERM=1 WS=128
 17   1.191865  192.168.1.2 -> 54.230.98.130 TCP 54 63786→80 [ACK] Seq=1 Ack=1 Win=65792 Len=0
 18   1.192207  192.168.1.2 -> 54.230.98.130 HTTP 152 GET /100kb HTTP/1.1 
 19   1.260470 54.230.98.130 -> 192.168.1.2  TCP 54 80→63786 [ACK] Seq=1 Ack=99 Win=14720 Len=0
 20   1.268790 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 21   1.273748 54.230.98.130 -> 192.168.1.2  TCP 1168 [TCP segment of a reassembled PDU]
 22   1.273831  192.168.1.2 -> 54.230.98.130 TCP 54 63786→80 [ACK] Seq=99 Ack=2515 Win=65792 Len=0
 23   1.273975 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 24   1.274014 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
