[Measurement for 100kb at 10:04:35 17.04.2014] 
Tshark:

  1   0.000000 fe80::446a:b521:8794:ef65 -> fe80::5ef9:6aff:fe25:83d4 ICMPv6 86 Neighbor Solicitation for fe80::5ef9:6aff:fe25:83d4 from 00:24:d7:3f:fc:98
  2   0.001996 fe80::5ef9:6aff:fe25:83d4 -> fe80::446a:b521:8794:ef65 ICMPv6 78 Neighbor Advertisement fe80::5ef9:6aff:fe25:83d4 (sol)
  3   0.073089  192.168.1.2 -> 54.230.98.75 TCP 66 52056→80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1
  4   0.133940 54.230.98.75 -> 192.168.1.2  TCP 66 80→52056 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1400 SACK_PERM=1 WS=128
  5   0.134109  192.168.1.2 -> 54.230.98.75 TCP 54 52056→80 [ACK] Seq=1 Ack=1 Win=65792 Len=0
  6   0.134311  192.168.1.2 -> 54.230.98.75 HTTP 152 GET /100kb HTTP/1.1 
  7   0.163875 54.230.98.75 -> 192.168.1.2  TCP 54 80→52056 [ACK] Seq=1 Ack=99 Win=14720 Len=0
  8   0.167719 54.230.98.75 -> 192.168.1.2  TCP 510 [TCP segment of a reassembled PDU]
  9   0.170455 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 10   0.170552  192.168.1.2 -> 54.230.98.75 TCP 54 52056→80 [ACK] Seq=99 Ack=1857 Win=65792 Len=0
 11   0.173993 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 12   0.173995 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 13   0.173997 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 14   0.174000 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 15   0.174002 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 16   0.174003 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 17   0.174008 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 18   0.174009 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 19   0.174261  192.168.1.2 -> 54.230.98.75 TCP 54 52056→80 [ACK] Seq=99 Ack=13057 Win=65792 Len=0
 20   0.201810 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 21   0.202813 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 22   0.202886  192.168.1.2 -> 54.230.98.75 TCP 54 52056→80 [ACK] Seq=99 Ack=15857 Win=65792 Len=0
 23   0.204333 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 24   0.204334 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 25   0.204335 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 26   0.204338 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 27   0.204339 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 28   0.204434  192.168.1.2 -> 54.230.98.75 TCP 54 52056→80 [ACK] Seq=99 Ack=22857 Win=65792 Len=0
 29   0.205921 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 30   0.205922 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 31   0.205923 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 32   0.205925 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 33   0.205926 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 34   0.206044  192.168.1.2 -> 54.230.98.75 TCP 54 52056→80 [ACK] Seq=99 Ack=29857 Win=65792 Len=0
 35   0.230733 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 36   0.231883 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 37   0.231938  192.168.1.2 -> 54.230.98.75 TCP 54 52056→80 [ACK] Seq=99 Ack=32657 Win=65792 Len=0
 38   0.235474 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 39   0.235476 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 40   0.235476 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 41   0.235479 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 42   0.235480 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 43   0.235482 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 44   0.235483 54.230.98.75 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 45   0.235626  192.168.1.2 -> 54.230.98.75 TCP 54 52056→80 [ACK] Seq=99 Ack=42457 Win=65792 Len=0
