[Measurement for 100kb at 13:41:51 16.41.2014] 

Pinging d1hrt2aivb7twc.cloudfront.net [54.230.99.41] with 32 bytes of data:
Reply from 54.230.99.41: bytes=32 time=49ms TTL=57
Reply from 54.230.99.41: bytes=32 time=41ms TTL=57
Reply from 54.230.99.41: bytes=32 time=42ms TTL=57
Reply from 54.230.99.41: bytes=32 time=37ms TTL=57
Reply from 54.230.99.41: bytes=32 time=28ms TTL=57
Reply from 54.230.99.41: bytes=32 time=55ms TTL=57
Reply from 54.230.99.41: bytes=32 time=28ms TTL=57
Reply from 54.230.99.41: bytes=32 time=54ms TTL=57
Reply from 54.230.99.41: bytes=32 time=28ms TTL=57
Reply from 54.230.99.41: bytes=32 time=58ms TTL=57

Ping statistics for 54.230.99.41:
    Packets: Sent = 10, Received = 10, Lost = 0 (0% loss),
Approximate round trip times in milli-seconds:
    Minimum = 28ms, Maximum = 58ms, Average = 42ms

Tshark:

  1   0.000000 fe80::446a:b521:8794:ef65 -> fe80::5ef9:6aff:fe25:83d4 ICMPv6 86 Neighbor Solicitation for fe80::5ef9:6aff:fe25:83d4 from 00:24:d7:3f:fc:98
  2   0.037073 fe80::5ef9:6aff:fe25:83d4 -> fe80::446a:b521:8794:ef65 ICMPv6 78 Neighbor Advertisement fe80::5ef9:6aff:fe25:83d4 (sol)
  3   0.700742  192.168.1.2 -> 54.230.99.41 TCP 66 61724→80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1
  4   0.755186 54.230.99.41 -> 192.168.1.2  TCP 66 80→61724 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1400 SACK_PERM=1 WS=128
  5   0.755344  192.168.1.2 -> 54.230.99.41 TCP 54 61724→80 [ACK] Seq=1 Ack=1 Win=65792 Len=0
  6   0.755612  192.168.1.2 -> 54.230.99.41 HTTP 152 GET /100kb HTTP/1.1 
  7   0.783375 54.230.99.41 -> 192.168.1.2  TCP 54 80→61724 [ACK] Seq=1 Ack=99 Win=14720 Len=0
  8   1.007838 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
  9   1.009368 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 10   1.009371 54.230.99.41 -> 192.168.1.2  TCP 257 [TCP segment of a reassembled PDU]
 11   1.009506  192.168.1.2 -> 54.230.99.41 TCP 54 61724→80 [ACK] Seq=99 Ack=3004 Win=65792 Len=0
 12   1.180870 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 13   1.182104 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 14   1.182106 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 15   1.182107 54.230.99.41 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 16   1.182110 54.230.99.41 -> 192.168.1.2  TCP 294 [TCP segment of a reassembled PDU]
 17   1.182226  192.168.1.2 -> 54.230.99.41 TCP 54 61724→80 [ACK] Seq=99 Ack=8844 Win=65792 Len=0
