[Measurement for 1kb at 16:00:50 16.00.2014] 
Tshark:

  1   0.000000 fe80::5ef9:6aff:fe25:83d4 -> fe80::446a:b521:8794:ef65 ICMPv6 86 Neighbor Solicitation for fe80::446a:b521:8794:ef65 from 5c:f9:6a:25:83:d4
  2   0.000088 fe80::446a:b521:8794:ef65 -> fe80::5ef9:6aff:fe25:83d4 ICMPv6 86 Neighbor Advertisement fe80::446a:b521:8794:ef65 (sol, ovr) is at 00:24:d7:3f:fc:98
  3   0.172652  192.168.1.1 -> 239.255.255.250 SSDP 451 NOTIFY * HTTP/1.1 
  4   0.177409  192.168.1.1 -> 239.255.255.250 SSDP 523 NOTIFY * HTTP/1.1 
  5   0.184397  192.168.1.1 -> 239.255.255.250 SSDP 519 NOTIFY * HTTP/1.1 
  6   0.191018  192.168.1.1 -> 239.255.255.250 SSDP 499 NOTIFY * HTTP/1.1 
  7   0.201957  192.168.1.1 -> 239.255.255.250 SSDP 531 NOTIFY * HTTP/1.1 
  8   0.209041  192.168.1.1 -> 239.255.255.250 SSDP 513 NOTIFY * HTTP/1.1 
  9   0.213788  192.168.1.1 -> 239.255.255.250 SSDP 515 NOTIFY * HTTP/1.1 
 10   0.218394  192.168.1.1 -> 239.255.255.250 SSDP 460 NOTIFY * HTTP/1.1 
 11   0.222800  192.168.1.1 -> 239.255.255.250 SSDP 460 NOTIFY * HTTP/1.1 
 12   0.227183  192.168.1.1 -> 239.255.255.250 SSDP 460 NOTIFY * HTTP/1.1 
 13   0.231574  192.168.1.1 -> 239.255.255.250 SSDP 460 NOTIFY * HTTP/1.1 
 14   0.486822  192.168.1.2 -> 54.230.99.193 TCP 66 62914→80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1
 15   0.542738 54.230.99.193 -> 192.168.1.2  TCP 66 80→62914 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1400 SACK_PERM=1 WS=128
 16   0.542883  192.168.1.2 -> 54.230.99.193 TCP 54 62914→80 [ACK] Seq=1 Ack=1 Win=65792 Len=0
 17   0.543064  192.168.1.2 -> 54.230.99.193 HTTP 150 GET /1kb HTTP/1.1 
 18   0.579272 54.230.99.193 -> 192.168.1.2  TCP 54 80→62914 [ACK] Seq=1 Ack=97 Win=14720 Len=0
 19   0.582842 54.230.99.193 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 20   0.582938 54.230.99.193 -> 192.168.1.2  HTTP 131 HTTP/1.1 200 OK  (application/octet-stream)
 21   0.582999  192.168.1.2 -> 54.230.99.193 TCP 54 62914→80 [ACK] Seq=97 Ack=1478 Win=65792 Len=0
 22   0.583323  192.168.1.2 -> 54.230.99.193 TCP 54 62914→80 [FIN, ACK] Seq=97 Ack=1478 Win=65792 Len=0
 23   0.621085 54.230.99.193 -> 192.168.1.2  TCP 54 80→62914 [FIN, ACK] Seq=1478 Ack=98 Win=14720 Len=0
 24   0.621246  192.168.1.2 -> 54.230.99.193 TCP 54 62914→80 [ACK] Seq=98 Ack=1479 Win=65792 Len=0
 25   1.638596 64.233.164.189 -> 192.168.1.2  TLSv1.2 105 Application Data
 26   1.689640  192.168.1.2 -> 64.233.164.189 TCP 54 62838→443 [ACK] Seq=1 Ack=52 Win=252 Len=0
