[Measurement for 1mb at 01:04:45 17.04.2014] 
Tshark:

  1   0.000000 fe80::5ef9:6aff:fe25:83d4 -> fe80::446a:b521:8794:ef65 ICMPv6 86 Neighbor Solicitation for fe80::446a:b521:8794:ef65 from 5c:f9:6a:25:83:d4
  2   0.000254 fe80::446a:b521:8794:ef65 -> fe80::5ef9:6aff:fe25:83d4 ICMPv6 86 Neighbor Advertisement fe80::446a:b521:8794:ef65 (sol, ovr) is at 00:24:d7:3f:fc:98
  3   1.322137  192.168.1.2 -> 54.230.97.235 TCP 66 49703→80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1
  4   1.830926 54.230.97.235 -> 192.168.1.2  TCP 66 80→49703 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1400 SACK_PERM=1 WS=128
  5   1.831083  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=1 Ack=1 Win=65792 Len=0
  6   1.841421  192.168.1.2 -> 54.230.97.235 HTTP 150 GET /1mb HTTP/1.1 
  7   2.141940 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
  8   2.142030 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
  9   2.142082  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=2801 Win=65792 Len=0
 10   2.142205 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 11   2.142256 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 12   2.142303  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=5601 Win=65792 Len=0
 13   2.142418 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 14   2.142471 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 15   2.142522  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=8401 Win=65792 Len=0
 16   2.142643 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 17   2.142688 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 18   2.142737  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=11201 Win=65792 Len=0
 19   2.142840 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 20   2.142887 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 21   2.142936  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=14001 Win=65792 Len=0
 22   2.445027 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 23   2.445606 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 24   2.445672  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=16801 Win=65792 Len=0
 25   2.446192 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 26   2.448706 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 27   2.448767  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=19601 Win=65792 Len=0
 28   2.448867 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 29   2.448908 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 30   2.448959  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=22401 Win=65792 Len=0
 31   2.449049 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 32   2.449087 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 33   2.449135  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=25201 Win=65792 Len=0
 34   2.449227 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 35   2.449282 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 36   2.449329  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=28001 Win=65792 Len=0
 37   2.449420 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 38   2.449457 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 39   2.449503  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=30801 Win=65792 Len=0
 40   2.570075 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 41   2.575449 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 42   2.575521  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=33601 Win=65792 Len=0
 43   2.575618 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 44   2.575658 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 45   2.575706  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=36401 Win=65792 Len=0
 46   2.575776 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 47   2.575810 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 48   2.575841  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=39201 Win=65792 Len=0
 49   2.575905 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 50   2.575961 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 51   2.576011  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=42001 Win=65792 Len=0
 52   2.576081 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 53   2.576115 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 54   2.576146  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=44801 Win=65792 Len=0
 55   2.576216 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 56   2.576271 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 57   2.576317  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=47601 Win=65792 Len=0
 58   2.576464 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 59   2.576501 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 60   2.576533  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=50401 Win=65792 Len=0
 61   2.576617 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 62   2.576672 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 63   2.576718  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=53201 Win=65792 Len=0
 64   2.576809 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 65   2.576843 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 66   2.576874  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=56001 Win=65792 Len=0
 67   2.604842 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 68   2.612657 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 69   2.612715  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=58801 Win=65792 Len=0
 70   2.619095 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 71   2.619139 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 72   2.619177  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=61601 Win=65792 Len=0
 73   2.619270 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 74   2.619304 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 75   2.619335  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=64401 Win=65792 Len=0
 76   2.619417 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 77   2.619446 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 78   2.619476  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=67201 Win=65792 Len=0
 79   2.619558 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 80   2.619590 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 81   2.619621  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=70001 Win=65792 Len=0
 82   2.619701 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 83   2.619733 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 84   2.619763  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=72801 Win=65792 Len=0
 85   2.623356 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 86   2.623427 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 87   2.623478  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=75601 Win=65792 Len=0
 88   2.623942 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 89   2.623991 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 90   2.624043  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=78401 Win=65792 Len=0
 91   2.624491 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 92   2.624540 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 93   2.624582  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=81201 Win=65792 Len=0
 94   2.626757 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 95   2.626810 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 96   2.626853  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=84001 Win=65792 Len=0
 97   2.632042 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 98   2.632093 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
