measuring location,id,datetime,S3 location,IP address,network latency,1kb (retrieval latency),10kb,100kb,1mb,10mb
home,0,16.11-14.00,oregon,54.230.99.246,34,.031158,.028388,.028209,.026788,.037260,
home,1,16.11-15.00,oregon,54.230.98.223,41,.035771,.035264,.029972,.035058,.027095,
home,2,16.11-16.00,oregon,54.230.98.53,74,.037473,.027352,.027978,.032367,.030571,
home,3,16.11-17.00,oregon,54.230.98.24,53,.037256,.027698,.028311,.029579,.028574,
home,4,16.11-18.00,oregon,54.230.99.207,12,.039267,.028617,.027532,.034803,.032188,
home,5,16.11-19.00,oregon,54.230.98.242,44,.027169,.032300,.026903,.041762,.029808,
home,6,16.11-20.00,oregon,54.230.98.154,36,.029453,.034597,.027968,.035902,.032053,
home,7,16.11-21.00,oregon,54.230.98.50,47,.035943,.038513,.026478,.030246,.027215,
home,8,16.11-22.00,oregon,54.230.98.197,45,.038178,.029264,.029840,.031007,.040789,
home,9,16.11-23.00,oregon,54.230.98.242,16,.029405,.043646,.032657,.036399,.037303,
home,10,17.11-00.00,oregon,54.230.99.185,52,.028300,.027630,.028413,.032476,.050877,
home,11,17.11-01.00,oregon,54.230.99.243,43,.035444,.027842,.043375,.032859,.027472,
home,12,17.11-02.00,oregon,54.230.99.158,39,.027394,.036613,.035349,.028179,.031263,
home,13,17.11-03.00,oregon,54.230.99.53,42,.028900,.026848,.312384,.027391,.026726,
home,14,17.11-04.00,oregon,54.230.99.49,46,.031633,.031065,.028396,.030203,.053190,
home,15,17.11-05.00,oregon,54.230.98.195,42,.027529,.027364,.027515,.036849,.034950,
home,16,17.11-06.00,oregon,54.230.99.53,33,.048898,.037338,.038365,.028682,.028726,
home,17,17.11-07.00,oregon,54.230.98.39,42,.028771,.036158,.028827,.030108,.030281,
home,18,17.11-08.00,oregon,54.230.98.166,42,.028715,.032035,.028649,.028339,.028417,
home,19,17.11-09.00,oregon,54.230.98.152,54,.034259,.050470,.028764,.027430,.028542,
home,20,17.11-10.00,oregon,54.230.99.162,52,.028659,.028776,.027727,.036656,.028401,
home,21,17.11-11.00,oregon,54.230.98.31,35,.030573,.027513,.032109,.027215,.031113,
home,22,16.11-14.00,california,54.230.98.248,12,.027706,.027817,.031538,.027772,.028226,
home,23,16.11-15.00,california,54.230.98.175,49,.032690,.029218,.028391,.294907,.039633,
home,24,16.11-16.00,california,54.230.98.19,39,.028876,.031049,.023870,.170337,.029533,
home,25,16.11-17.00,california,54.230.98.58,44,.026808,.034924,.029053,.027349,.027443,
home,26,16.11-18.00,california,54.230.97.201,44,.028469,.028274,.031023,.047451,.032379,
home,27,16.11-19.00,california,54.230.99.89,52,.027924,.037465,.027352,.029629,.029030,
home,28,16.11-20.00,california,54.230.98.173,39,.027552,.029020,.030170,.038418,.032346,
home,29,16.11-21.00,california,54.230.97.233,40,.028692,.042826,.031439,.033126,.028647,
home,30,16.11-22.00,california,54.230.98.24,44,.042875,.038002,.038616,.003722,.031562,
home,31,16.11-23.00,california,54.230.98.202,50,.032716,.034018,.050533,.038122,.037912,
home,32,17.11-00.00,california,54.230.99.158,45,,.029611,.029311,.030628,.030432,
home,33,17.11-01.00,california,54.230.98.78,40,.027950,.028715,.026743,.027875,.032964,
home,34,17.11-02.00,california,54.230.99.193,11,.027084,.027436,.035335,.029400,.029311,
home,35,17.11-03.00,california,54.230.99.246,42,.028580,.028211,.027332,.029031,.029468,
home,36,17.11-04.00,california,54.230.99.53,42,.027088,.044574,.027811,.028462,.029435,
home,37,17.11-05.00,california,54.230.98.71,44,.031296,.030355,.031836,.027551,.027298,
home,38,17.11-06.00,california,54.230.99.193,42,.031962,.029101,.028446,.027444,.028013,
home,39,17.11-07.00,california,54.230.98.86,42,.028811,.029341,.029725,.029133,.056176,
home,40,17.11-08.00,california,54.230.97.191,42,.306537,.030743,.027346,.029330,.028819,
home,41,17.11-09.00,california,54.230.96.94,20,.035721,.031326,.033737,.028062,.030577,
home,42,17.11-10.00,california,54.230.99.246,40,.032236,.028860,.026942,.029580,.028993,
home,43,17.11-11.00,california,54.230.97.250,45,.028548,.029414,.027366,.031666,.028424,
home,44,16.11-14.00,singapore,54.230.98.161,40,.027966,.032175,.031554,.004634,.030911,
home,45,16.11-15.00,singapore,54.230.99.246,42,.031291,.032706,.027512,.040256,.026925,
home,46,16.11-16.00,singapore,54.230.98.134,46,.034552,.039767,.028721,.028999,.029328,
home,47,16.11-17.00,singapore,54.230.99.37,41,.030906,.034484,.028523,.033917,.027349,
home,48,16.11-18.00,singapore,54.230.99.41,43,.022155,.043313,.030075,.029235,.026644,
home,49,16.11-19.00,singapore,54.230.98.53,44,.038620,.030390,.035207,.026812,.028104,
home,50,16.11-20.00,singapore,54.230.98.198,17,.027644,.050998,.026974,.029783,.031469,
home,51,16.11-21.00,singapore,54.230.99.41,50,.027713,.028157,.028063,.048719,.028618,
home,52,16.11-22.00,singapore,54.230.98.248,45,.037475,.031200,.030042,.029092,.038672,
home,53,16.11-23.00,singapore,54.230.99.28,47,.033171,.034120,.030259,.029465,.031852,
home,54,17.11-00.00,singapore,54.230.98.86,50,.032095,.030596,.040240,.035872,.036123,
home,55,17.11-01.00,singapore,54.230.98.222,43,.028141,.028526,.307036,.036315,.029376,
home,56,17.11-02.00,singapore,54.230.99.243,38,.037446,.036609,.030256,.032037,.029572,
home,57,17.11-03.00,singapore,54.230.99.53,44,.029362,.035144,.078298,.028625,.036516,
home,58,17.11-04.00,singapore,192.168.1.2,42,.032223,.028280,.028414,.028548,.014724,
home,59,17.11-05.00,singapore,54.230.99.243,40,.028355,.028534,.241734,.027791,.027420,
home,60,17.11-06.00,singapore,54.230.99.193,44,.029391,.036362,.028887,.005171,.028373,
home,61,17.11-07.00,singapore,54.230.99.64,42,.027511,.028660,.028448,.040805,.040529,
home,62,17.11-08.00,singapore,54.230.98.166,45,.033417,.278224,.032430,.026472,.027416,
home,63,17.11-09.00,singapore,54.230.98.174,43,.074160,.035458,.042259,.027056,.027309,
home,64,17.11-10.00,singapore,54.230.96.123,48,.024884,.028592,.028602,.038611,.036535,
home,65,17.11-11.00,singapore,54.230.98.195,45,.031824,.089969,.027333,.031412,.032705,
home,66,16.11-14.00,ireland,54.230.98.182,35,.028090,.031932,.030239,.049818,.028385,
home,67,16.11-15.00,ireland,54.230.98.175,52,.031064,.004265,.028071,.036359,.038025,
home,68,16.11-16.00,ireland,54.230.98.225,43,.039945,.043076,.031584,.039907,.034673,
home,69,16.11-17.00,ireland,54.230.99.193,41,.027123,.036470,.043025,.038456,.028558,
home,70,16.11-18.00,ireland,54.230.99.162,42,.028564,.028375,.041338,.031452,.037975,
home,71,16.11-19.00,ireland,54.230.97.210,35,.029570,.034540,.027859,.004164,.028467,
home,72,16.11-20.00,ireland,54.230.98.25,40,.029403,.043104,.020137,.038870,.033482,
home,73,16.11-21.00,ireland,54.230.99.98,42,.029231,.028653,.086506,.031224,.029616,
home,74,16.11-22.00,ireland,54.230.98.48,49,.030840,.031941,.306809,.043647,.039854,
home,75,16.11-23.00,ireland,54.230.98.210,44,.029762,.029311,.029273,.036530,.029693,
home,76,17.11-00.00,ireland,54.230.99.246,48,.036405,.027903,.031805,.031779,.029510,
home,77,17.11-01.00,ireland,54.230.98.98,40,.026479,.031249,.028357,.029583,.030409,
home,78,17.11-02.00,ireland,54.230.99.246,81,.028036,.027795,.027319,.031194,.031358,
